date,ticker,tier,mini,small,base,consensus,action,avg_pct,horizon,target_date,entry,tp,sl,filter
2026-05-05,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-49.51,60.0,2026-07-27,3.23,0.25,0.02,SHORT DISABLED
2026-05-05,PATH,A,UP,UP,UP,AGREE UP,HOLD,15.33,60.0,2026-07-27,10.83,0.2,0.1,
2026-05-05,HON,A,DOWN,DOWN,UP,MIXED,SKIP,-0.15,60.0,2026-07-27,209.59,0.15,0.1,
2026-05-05,ITW,A,UP,UP,UP,AGREE UP,BUY,4.83,60.0,2026-07-27,251.65,0.2,0.1,
2026-05-05,NCLH,A,UP,UP,UP,AGREE UP,BUY,32.13,60.0,2026-07-27,17.2,0.25,0.1,
2026-05-05,NVAX,A,UP,UP,UP,AGREE UP,HOLD,12.3,60.0,2026-07-27,8.03,0.3,0.1,
2026-05-05,WK,A,UP,UP,UP,AGREE UP,HOLD,41.68,60.0,2026-07-27,56.58,0.25,0.1,
2026-05-05,AAL,A,UP,DOWN,UP,MIXED,SKIP,9.61,60.0,2026-07-27,11.81,0.3,0.1,
2026-05-06,RIVN,A,DOWN,UP,UP,MIXED,SKIP,1.82,40.0,2026-06-30,14.6,0.15,0.02,
2026-05-06,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-49.97,60.0,2026-07-28,3.53,0.25,0.02,SHORT DISABLED
2026-05-06,PATH,A,UP,UP,UP,AGREE UP,HOLD,22.12,60.0,2026-07-28,10.7,0.2,0.1,
2026-05-06,HON,A,DOWN,UP,UP,MIXED,SKIP,-2.02,60.0,2026-07-28,209.06,0.15,0.1,
2026-05-06,ITW,A,UP,UP,UP,AGREE UP,HOLD,2.1,60.0,2026-07-28,254.55,0.2,0.1,
2026-05-06,NCLH,A,UP,UP,UP,AGREE UP,HOLD,34.2,60.0,2026-07-28,16.94,0.25,0.1,
2026-05-06,NVAX,A,DOWN,UP,UP,MIXED,SKIP,7.64,60.0,2026-07-28,8.1,0.3,0.1,
2026-05-06,WK,A,UP,UP,UP,AGREE UP,HOLD,47.39,60.0,2026-07-28,55.41,0.25,0.1,
2026-05-06,AAL,A,UP,DOWN,DOWN,MIXED,SKIP,0.08,60.0,2026-07-28,12.37,0.3,0.1,
2026-05-07,RIVN,A,UP,DOWN,UP,MIXED,SKIP,5.26,40.0,2026-07-01,14.48,0.15,0.02,
